form,form_type,form_name,service_center,center_address,ZIP,time_min,time_max,State,Congressional_district,Rep,Party
I-90,,Application to replace permanent resident card,Potomac,"2200 Crystal Dr, Arlington, VA 22202",22202,2,13,VA,8,"Beyer, Don",D
I-102,,Application for replacement/initial nonimmigrant arrival,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,3.5,7.5,CA,48,"Rouda, Harley",D
I-102,,Application for replacement/initial nonimmigrant arrival,National Benefits Center,"850 NW Chipman Rd #5000, Lee's Summit, MO 64063",64063,3.5,7.5,MO,5,"Cleaver, Emanuel",D
I-102,,Application for replacement/initial nonimmigrant arrival,Nebraska,"850 S St, Lincoln, NE 68508",68508,3.5,7.5,NE,1,"Fortenberry, Jeff",R
I-102,,Application for replacement/initial nonimmigrant arrival,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,3.5,7.5,TX,30,"Johnson, Eddie Bernice",D
I-102,,Application for replacement/initial nonimmigrant arrival,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,3.5,7.5,VT,At-Large,"Welch, Peter",D
I-129,Blanket L,Petition for a Nonimmigrant Worker,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,6.5,8.5,CA,48,"Rouda, Harley",D
I-129,E - Treaty traders and investors,Petition for a Nonimmigrant Worker,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,0.75,4,CA,48,"Rouda, Harley",D
I-129,H-1B - Specialty occupation - Visa to be issued abroad,Petition for a Nonimmigrant Worker,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,9.5,12.5,CA,48,"Rouda, Harley",D
I-129,H-1B - Specialty occupation - Change of status in the US,Petition for a Nonimmigrant Worker,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,6.5,8.5,CA,48,"Rouda, Harley",D
I-129,H-1B - Specialty occupation - Extension of stay in the US,Petition for a Nonimmigrant Worker,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,6.5,8.5,CA,48,"Rouda, Harley",D
I-129,H-1B - Specialty occupation - Extension of stay in the US,Petition for a Nonimmigrant Worker,Nebraska,"850 S St, Lincoln, NE 68508",68508,3.5,5.5,NE,1,"Fortenberry, Jeff",R
I-129,L - intracompany transfers,Petition for a Nonimmigrant Worker,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,3,5,TX,30,"Johnson, Eddie Bernice",D
I-485,,Application to Register Permanent Residence or Adjust Status,Charlotte Amalie VI,"8000 Nisky Center, Suite 1A Charlottes Amalie St. Thomas USVI VI, 00802, U.S. Virgin Islands",00802,10.5,22,,,,
N-400,,Application for Naturalization,Charlotte Amalie VI,"8000 Nisky Center, Suite 1A Charlottes Amalie St. Thomas USVI VI, 00802, U.S. Virgin Islands",00802,10,19.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Christiansted VI,"4500 Queen Mary Hwy, Christiansted, St Croix 00820, USVI",00820,10.5,22,,,,
N-400,,Application for Naturalization,Christiansted VI,"4500 Queen Mary Hwy, Christiansted, St Croix 00820, USVI",00820,10,19.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,San Juan PR,"273 Ponce De Leon Ave, Plaza 273, 12th Fl, Ste 1202, 00917, Puerto Rico",00917,10.5,22,,,,
I-129CW,CW-1 - CNMI-Only Nonimmigrant Transitional Worker,Petition for a CNMI-Only Nonimmigrant Transitional Worker,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,1,3,CA,48,"Rouda, Harley",D
I-129F,K-1/K-2 - Not yet married - fiancé(e) and/or dependent child,Petition for an alien Fiancé€,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,5.5,7.5,CA,48,"Rouda, Harley",D
I-129F,K-3/K-4 - Already married - spouse and/or dependent child,Petition for an alien Fiancé€,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,5.5,7.5,CA,48,"Rouda, Harley",D
I-129F,K-3/K-4 - Already married - spouse and/or dependent child,Petition for an alien Fiancé€,Nebraska,"850 S St, Lincoln, NE 68508",68508,7.5,10,NE,1,"Fortenberry, Jeff",R
I-129F,K-3/K-4 - Already married - spouse and/or dependent child,Petition for an alien Fiancé€,Potomac,"2200 Crystal Dr, Arlington, VA 22202",22202,10.5,14,VA,8,"Beyer, Don",D
I-129F,K-3/K-4 - Already married - spouse and/or dependent child,Petition for an alien Fiancé€,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,7,9,TX,30,"Johnson, Eddie Bernice",D
N-400,,Application for Naturalization,San Juan PR,"273 Ponce De Leon Ave, Plaza 273, 12th Fl, Ste 1202, 00917, Puerto Rico",00917,10,19.5,,,,
I-130,Permanent resident filing for a spouse or child under 21,Petition for Alien Relative,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,19,25,CA,48,"Rouda, Harley",D
I-130,U.S. citizen filing for an unmarried son or daughter over 21,Petition for Alien Relative,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,32.5,42,CA,48,"Rouda, Harley",D
I-130,Permanent resident filing for an unmarried son or daughter over 21,Petition for Alien Relative,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,42,54.5,CA,48,"Rouda, Harley",D
I-130,U.S. citizen filing for a married son or daughter over 21,Petition for Alien Relative,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,79.5,103.5,CA,48,"Rouda, Harley",D
I-130,U.S. citizen filing for a brother or sister,Petition for Alien Relative,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,91,118,CA,48,"Rouda, Harley",D
I-130,Permanent resident filing for a spouse or child under 21,Petition for Alien Relative,Nebraska,"850 S St, Lincoln, NE 68508",68508,7.5,10,NE,1,"Fortenberry, Jeff",R
I-130,U.S. citizen filing for an unmarried son or daughter over 21,Petition for Alien Relative,Nebraska,"850 S St, Lincoln, NE 68508",68508,7.5,10,NE,1,"Fortenberry, Jeff",R
I-130,Permanent resident filing for an unmarried son or daughter over 21,Petition for Alien Relative,Nebraska,"850 S St, Lincoln, NE 68508",68508,7.5,10,NE,1,"Fortenberry, Jeff",R
I-130,U.S. citizen filing for a married son or daughter over 21,Petition for Alien Relative,Nebraska,"850 S St, Lincoln, NE 68508",68508,7.5,10,NE,1,"Fortenberry, Jeff",R
I-130,U.S. citizen filing for a brother or sister,Petition for Alien Relative,Nebraska,"850 S St, Lincoln, NE 68508",68508,7.5,10,NE,1,"Fortenberry, Jeff",R
I-130,"U.S. citizen filing for a spouse, parent, or child under 21",Petition for Alien Relative,Potomac,"2200 Crystal Dr, Arlington, VA 22202",22202,8,10.5,VA,8,"Beyer, Don",D
I-130,Permanent resident filing for a spouse or child under 21,Petition for Alien Relative,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,5,7,TX,30,"Johnson, Eddie Bernice",D
I-130,"U.S. citizen filing for a spouse, parent, or child under 21",Petition for Alien Relative,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,6.5,8.5,TX,30,"Johnson, Eddie Bernice",D
I-130,U.S. citizen filing for an unmarried son or daughter over 21,Petition for Alien Relative,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,6.5,8.5,TX,30,"Johnson, Eddie Bernice",D
I-130,Permanent resident filing for an unmarried son or daughter over 21,Petition for Alien Relative,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,5,7,TX,30,"Johnson, Eddie Bernice",D
I-130,U.S. citizen filing for a married son or daughter over 21,Petition for Alien Relative,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,6.5,8.5,TX,30,"Johnson, Eddie Bernice",D
N-600,Application for recognition of U.S. citizenship,Application for Certificate of Citizenship,San Juan PR,"273 Ponce De Leon Ave, Plaza 273, 12th Fl, Ste 1202, 00917, Puerto Rico",00917,19,24.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Lawrence MA,"2 Mill St, Lawrence, MA 01840",01840,8,18.5,MA,3,"Trahan, Lori",D
N-400,,Application for Naturalization,Lawrence MA,"2 Mill St, Lawrence, MA 01840",01840,6.5,16,MA,3,"Trahan, Lori",D
N-600,Application for recognition of U.S. citizenship,Application for Certificate of Citizenship,Lawrence MA,"2 Mill St, Lawrence, MA 01840",01840,7.5,10,MA,3,"Trahan, Lori",D
I-485,,Application to Register Permanent Residence or Adjust Status,Boston MA,"15 New Sudbury St., Boston, MA 02203",02203,9,21,MA,8,"Lynch, Stephen F.",D
I-131,All other applicants for advance parole,Application for Travel Document,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,2,5,CA,48,"Rouda, Harley",D
I-131,All other applicants for advance parole,Application for Travel Document,National Benefits Center,"850 NW Chipman Rd #5000, Lee's Summit, MO 64063",64063,4,6,MO,5,"Cleaver, Emanuel",D
I-131,Refugee or asylee applying for a refugee travel document,Application for Travel Document,Nebraska,"850 S St, Lincoln, NE 68508",68508,4,6,NE,1,"Fortenberry, Jeff",R
I-131,Permanent resident applying for a re-entry permit,Application for Travel Document,Nebraska,"850 S St, Lincoln, NE 68508",68508,4,6,NE,1,"Fortenberry, Jeff",R
I-131,Haitian Refugee Immigrant Fairness Act (HRIFA) dependent applying for advance parole,Application for Travel Document,Nebraska,"850 S St, Lincoln, NE 68508",68508,4,6,NE,1,"Fortenberry, Jeff",R
I-131,Haitian Refugee Immigrant Fairness Act (HRIFA) principal applying for advance parole,Application for Travel Document,Nebraska,"850 S St, Lincoln, NE 68508",68508,4,6,NE,1,"Fortenberry, Jeff",R
I-131,All other applicants for advance parole,Application for Travel Document,Nebraska,"850 S St, Lincoln, NE 68508",68508,4,6,NE,1,"Fortenberry, Jeff",R
I-131,All other applicants for advance parole,Application for Travel Document,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,2.5,5,TX,30,"Johnson, Eddie Bernice",D
N-400,,Application for Naturalization,Boston MA,"15 New Sudbury St., Boston, MA 02203",02203,6.5,19,MA,8,"Lynch, Stephen F.",D
I-140,Extraordinary ability (E11),Immigrant Petition for Alient Worker,Nebraska,"850 S St, Lincoln, NE 68508",68508,6,8,NE,1,"Fortenberry, Jeff",R
I-140,Outstanding professor or researcher (E12),,Nebraska,"850 S St, Lincoln, NE 68508",68508,4.5,6.5,NE,1,"Fortenberry, Jeff",R
I-140,Multinational executive or manager (E13),,Nebraska,"850 S St, Lincoln, NE 68508",68508,7.5,9.5,NE,1,"Fortenberry, Jeff",R
I-140,Advanced degree or exceptional ability (E21),,Nebraska,"850 S St, Lincoln, NE 68508",68508,5,7,NE,1,"Fortenberry, Jeff",R
I-140,Skilled worker or professional (E31; E32),,Nebraska,"850 S St, Lincoln, NE 68508",68508,4.5,6.5,NE,1,"Fortenberry, Jeff",R
I-140,Extraordinary ability (E11),Immigrant Petition for Alient Worker,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,3,6,TX,30,"Johnson, Eddie Bernice",D
I-140,Outstanding professor or researcher (E12),,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,3,6,TX,30,"Johnson, Eddie Bernice",D
I-140,Multinational executive or manager (E13),,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,5.5,7.5,TX,30,"Johnson, Eddie Bernice",D
I-140,Advanced degree or exceptional ability (E21),,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,3,6,TX,30,"Johnson, Eddie Bernice",D
I-140,Skilled worker or professional (E31; E32),,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,3,6,TX,30,"Johnson, Eddie Bernice",D
I-212,Readmission after deportation or removal,Application for Permission to Reapply for Admission into the United States After Deportation or Removal,Nebraska,"850 S St, Lincoln, NE 68508",68508,11,14.5,NE,1,"Fortenberry, Jeff",R
I-212,Readmission after deportation or removal,Application for Permission to Reapply for Admission into the United States After Deportation or Removal,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,23.5,30.5,TX,30,"Johnson, Eddie Bernice",D
I-360,All other special immigrants,"Petition for Amerasian, Widow(er), or Special Immigrant",California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,4,7,CA,48,"Rouda, Harley",D
I-360,All other special immigrants,"Petition for Amerasian, Widow(er), or Special Immigrant",Nebraska,"850 S St, Lincoln, NE 68508",68508,1,7,NE,1,"Fortenberry, Jeff",R
N-600,Application for recognition of U.S. citizenship,Application for Certificate of Citizenship,Boston MA,"15 New Sudbury St., Boston, MA 02203",02203,10,13,MA,8,"Lynch, Stephen F.",D
I-485,,Application to Register Permanent Residence or Adjust Status,Providence RI,"1543 Atwood Ave, Johnston, RI 02919",02919,10.5,22,RI,2,"Langevin, James R.",D
I-485,,Application to Register Permanent Residence or Adjust Status,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,9.5,43.5,CA,48,"Rouda, Harley",D
I-485,,Application to Register Permanent Residence or Adjust Status,Nebraska,"850 S St, Lincoln, NE 68508",68508,8.5,14.5,NE,1,"Fortenberry, Jeff",R
I-485,,Application to Register Permanent Residence or Adjust Status,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,10,24.5,TX,30,"Johnson, Eddie Bernice",D
N-400,,Application for Naturalization,Providence RI,"1543 Atwood Ave, Johnston, RI 02919",02919,10,19.5,RI,2,"Langevin, James R.",D
I-485,,Application to Register Permanent Residence or Adjust Status,Agana GU,"770 East Sunset Boulevard, Suite 185 Barrigada GU 96913, E Sunset Blvd, Tamuning, Guam",96913,10.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Albany NY,"1086 Troy Schenectady Rd, Latham, NY 12110",12110,10.5,22,NY,20,"Tonko, Paul",D
I-485,,Application to Register Permanent Residence or Adjust Status,Albuquerque NM,"1551 Mercantile Ave NE suite b, Albuquerque, NM 87107",87107,10.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Anchorage AK,"3708, 620 E 10th Ave Suite 102, Anchorage, AK 99501",99501,10.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Atlanta GA,"2150 Parklake Dr NE, Atlanta, GA 30345",30345,13.5,23.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Baltimore MD,"3701 Koppers St, Baltimore, MD 21227",21227,10,23.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Boise ID,"1185 S Vinnell Way, Boise, ID 83709",83709,10.5,22,,,,
N-600,Application for recognition of U.S. citizenship,Application for Certificate of Citizenship,Providence RI,"1543 Atwood Ave, Johnston, RI 02919",02919,6,8,RI,2,"Langevin, James R.",D
I-485,,Application to Register Permanent Residence or Adjust Status,Brooklyn NY,"1260-1278 60th St, Brooklyn, NY 11219",11219,19.5,36.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Buffalo NY,"306 Delaware Ave, Buffalo, NY 14202",14202,10.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Charleston SC,"1 Poston Rd Suite 130, Charleston, SC 29407",29407,8,26,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Manchester NH,"9 Ridgewood Rd, Bedford, NH 03110",03110,10.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Charlotte NC,"6130 Tyvola Centre Dr, Charlotte, NC 28217",28217,10.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Chicago IL,"101 W Congress Pkwy, Chicago, IL 60605",60605,13,34,,,,
N-400,,Application for Naturalization,Manchester NH,"9 Ridgewood Rd, Bedford, NH 03110",03110,10,19.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Cincinnati OH,"5298, 550 Main St Room 4001, Cincinnati, OH 45202",45202,10.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Cleveland OH,"1240 E 9th St #519, Cleveland, OH 44199",44199,10.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Columbus OH,"395 E Broad St #100, Columbus, OH 43215",43215,10.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Dallas TX,"6500 Campus Cir Dr E, Irving, TX 75063",75063,18.5,23.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Denver CO,"12484 E Weaver Pl, Centennial, CO 80111",80111,9,24.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Des Moines IA,"210 Walnut St, Des Moines, IA 50309",50309,10.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Detroit MI,"11411 E Jefferson Ave, Detroit, MI 48214",48214,6.5,18.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,El Paso TX,"1545 Hawkins Blvd #167, El Paso, TX 79925",79925,10.5,20.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Fort Myers FL,"4220 Executive Cir Ste 1, Fort Myers, FL 33916",33916,10.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Fort Smith AR,"4624 Kelley Hwy, Fort Smith, AR 72904",72904,10.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Fresno CA,"744 P St #120, Fresno, CA 93721",93721,7,20,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Greer SC,"501 Pennsylvania Ave, Greer, SC 29650",29650,10.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Harlingen TX,"1717 Zoy St, Harlingen, TX 78552",78552,9,31.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Portland ME,"176 Gannett Dr, South Portland, ME 04106",04106,10.5,22,,,,
N-400,,Application for Naturalization,Portland ME,"176 Gannett Dr, South Portland, ME 04106",04106,10,19.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Hialeah FL,"5880 NW 183rd St, Hialeah, FL 33015",33015,10,18.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Honolulu HI,"500 Ala Moana Blvd Ste 2-403, Honolulu, HI 96813",96813,10.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Houston TX,"810 Gears Rd Suite 100, Houston, TX 77067",77067,19.5,24,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Imperial CA,"509 Industry Way Suite A, Imperial, CA 92251",92251,10.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Indianapolis IN,"1099 N Meridian St 10th floor, Indianapolis, IN 46204",46204,8,20.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Jacksonville FL,"0930, 4121 Southpoint Blvd, Jacksonville, FL 32216",32216,7.5,18.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Kansas City MO,"1833, 10320 NW Prairie View Rd Suite 109, Kansas City, MO 64153",64153,7.5,26,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Kendall FL,"14675 SW 120th St, Miami, FL 33186",33186,10.5,18.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Las Vegas NV,"4712, 5650 Badura Ave #100, Las Vegas, NV 89118",89118,15,18,,,,
N-600,Application for recognition of U.S. citizenship,Application for Certificate of Citizenship,Portland ME,"176 Gannett Dr, South Portland, ME 04106",04106,5,7,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Long Island NY,"5018, 22-11 43rd Ave, Long Island City, NY 11101",11101,10,30,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Los Angeles CA,"300 N Los Angeles St rm 7631, Los Angeles, CA 90012",90012,13.5,19.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Los Angeles County CA,"300 N Los Angeles St rm 7631, Los Angeles, CA 90012",90012,13,25.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Louisville KY,"601 West Broadway 6th Fl, Ste 636, Louisville, KY 40202",40202,6.5,17,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Saint Albans VT,"64 Gricebrook Rd, St Albans City, VT 05478",05478,10.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Memphis TN,"80 Monroe Ave 7th Floor, Memphis, TN 38103",38103,7.5,21.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Miami FL,"8801 NW 7th Ave, Miami, FL 33150",33150,10.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Milwaukee WI,"310 E Knapp St, Milwaukee, WI 53202",53202,14.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Minneapolis-St. Paul MN,"250 S Marquette Ave Suite 710, Minneapolis, MN 55401",55401,15,26.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Montgomery AL,"3381 Atlanta Hwy, Montgomery, AL 36109",36109,10.5,21,,,,
N-400,,Application for Naturalization,Saint Albans VT,"64 Gricebrook Rd, St Albans City, VT 05478",05478,10,19.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Nashville TN,"340 Plus Park Blvd, Nashville, TN 37217",37217,10.5,22,,,,
N-600,Application for recognition of U.S. citizenship,Application for Certificate of Citizenship,Saint Albans VT,"64 Gricebrook Rd, St Albans City, VT 05478",05478,4.5,7,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,New Orlean LA,"1250 Poydras St Suite 1800, New Orleans, LA 70113",70113,10.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,New York City NY,"0127, 26 Federal Plaza, New York, NY 10278",10278,19,29,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Norfolk VA,"5678 E Virginia Beach Blvd, Norfolk, VA 23502",23502,10.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Oakland Park FL,"4451 NW 31st Ave, Oakland Park, FL 33309",33309,21,23.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Oklahoma City OK,"4400 SW 44th St Suite A, Oklahoma City, OK 73119",73119,9.5,19,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Omaha NE,"1717 Avenue H, Omaha, NE 68110",68110,10.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Orlando FL,"6680 Corporate Centre Blvd, Orlando, FL 32822",32822,14,21.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Philadelphia PA,"30 N 41st St, Philadelphia, PA 19104",19104,13.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Phoenix AZ,"1330 S 16th St, Phoenix, AZ 85034",85034,14.5,20,,,,
