form,form_type,form_name,service_center,center_address,ZIP,time_min,time_max,State,Congressional_district,Rep,Party
I-485,,Application to Register Permanent Residence or Adjust Status,Pittsburgh PA,"777 Penn Center Blvd #600, Pittsburgh, PA 15235",15235,10.5,22,,,,
I-129,Blanket L,Petition for a Nonimmigrant Worker,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,1,4,VT,At-Large,"Welch, Peter",D
I-485,,Application to Register Permanent Residence or Adjust Status,Portland OR,"1455 NW Overton St Suite 1, Portland, OR 97209",97209,8,18,,,,
I-129,E3 - Certain specialty occupation professionals from Australia,Petition for a Nonimmigrant Worker,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,1,4,VT,At-Large,"Welch, Peter",D
I-485,,Application to Register Permanent Residence or Adjust Status,Queens NY,"15301 Jamaica Ave, Jamaica, NY 11432",11432,12.5,24.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Raleigh NC,"301 Roycroft Dr, Durham, NC 27703",27703,6.5,14.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Reno NV,"790 Sandhill Road, Reno, NV 89521",89521,10.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Sacramento CA,"650 Capitol Mall, Sacramento, CA 95814",95814,8.5,18,,,,
I-129,H-1B - Specialty occupation - Change of status in the US,Petition for a Nonimmigrant Worker,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,7,9,VT,At-Large,"Welch, Peter",D
I-485,,Application to Register Permanent Residence or Adjust Status,St. Louis MO,"2815, 1222 Spruce St Room 2.205, St. Louis, MO 63103",63103,10.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Salt Lake City UT,"660 S 200 E Suite 400, Salt Lake City, UT 84111",84111,16,18,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,San Antonio TX,"20760 North, US-281 a, San Antonio, TX 78258",78258,8,17,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,San Bernadino CA,"995 Hardt St, San Bernardino, CA 92408",92408,7.5,18,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,San Diego CA,"995 Hardt St, San Bernardino, CA 92408",92408,7.5,18.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,San Fernando Valley CA,"19809 Prairie St Ste 100, Chatsworth, CA 91311",91311,15,18,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,San Francisco CA,"630 Sansome St Suite 1080, San Francisco, CA 94111",94111,17.5,20.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,San Jose CA,"1450 Coleman Ave, Santa Clara, CA 95050",95050,9.5,19,,,,
I-129,H-1B - Specialty occupation - Extension of stay in the US,Petition for a Nonimmigrant Worker,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,7,9,VT,At-Large,"Welch, Peter",D
I-485,,Application to Register Permanent Residence or Adjust Status,Santa Ana CA,"34 Civic Center Plaza, Santa Ana, CA 92701",92701,14,25,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Seattle WA,"12500 Tukwila International Blvd, Seattle, WA 98168",98168,15.5,19.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Spokane WA,"920, W Riverside Ave Room 691, Spokane, WA 99201",99201,10.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Tampa FL,"5629 Hoover Blvd, Tampa, FL 33634",33634,8.5,20,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Tucson AZ,"3419, 4475 S Coach Dr, Tucson, AZ 85714",85714,10.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Washington DC,"20 Massachusetts Ave NW, Washington, DC 20529",20529,7.5,19,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,West Palm Beach FL,"9300 Belvedere Rd, Royal Palm Beach, FL 33411",33411,10,18,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Wichita KS,"550 W Douglas Ave, Wichita, KS 67203",67203,10.5,22,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Yakima WA,"415 N 3rd St, Yakima, WA 98901",98901,10.5,22,,,,
I-526,For use by an entrepreneur who wishes to immigrate to the United States,Immigrant Petition by Alien Entrepeneur,"131 M Street NE 3rd Floor, Mailstop 2235 Washington, DC 20529","131 M Street NE 3rd Floor, Mailstop 2235 Washington, DC 20529",20529,20.5,27,,,,
I-539,Change status to the F or M academic or vocational student categories,Application to Extend/Change Nonimmigrant Status,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,5,7,CA,48,"Rouda, Harley",D
I-539,Change of status to H or L dependents,Application to Extend/Change Nonimmigrant Status,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,2,4.5,CA,48,"Rouda, Harley",D
I-539,Change Status to the J exchange visitor category,Application to Extend/Change Nonimmigrant Status,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,2.5,4.5,CA,48,"Rouda, Harley",D
I-539,All other change-of-status applications,Application to Extend/Change Nonimmigrant Status,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,5.5,7.5,CA,48,"Rouda, Harley",D
I-539,Extension of stay for F or M academic or vocational students,Application to Extend/Change Nonimmigrant Status,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,1.5,4.5,CA,48,"Rouda, Harley",D
I-539,All other change-of-status applications,Application to Extend/Change Nonimmigrant Status,National Benefits Center,"850 NW Chipman Rd #5000, Lee's Summit, MO 64063",64063,3,5,MO,5,"Cleaver, Emanuel",D
I-539,Change of status to H or L dependents,Application to Extend/Change Nonimmigrant Status,Nebraska,"850 S St, Lincoln, NE 68508",68508,3.5,5.5,NE,1,"Fortenberry, Jeff",R
I-539,Extension of stay for H and L dependents,Application to Extend/Change Nonimmigrant Status,Nebraska,"850 S St, Lincoln, NE 68508",68508,3.5,5.5,NE,1,"Fortenberry, Jeff",R
I-129,H-1B - Specialty occupation - Extension of stay in the US,Petition for a Nonimmigrant Worker,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,2.5,4.5,VT,At-Large,"Welch, Peter",D
I-129F,K-3/K-4 - Already married - spouse and/or dependent child,Petition for an alien Fiancé€,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,5.5,7.5,VT,At-Large,"Welch, Peter",D
I-130,Permanent resident filing for a spouse or child under 21,Petition for Alien Relative,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,4,7,VT,At-Large,"Welch, Peter",D
I-130,"U.S. citizen filing for a spouse, parent, or child under 21",Petition for Alien Relative,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,5,7,VT,At-Large,"Welch, Peter",D
I-130,U.S. citizen filing for an unmarried son or daughter over 21,Petition for Alien Relative,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,71,92,VT,At-Large,"Welch, Peter",D
I-600,U.S. citizen filing to adopt an orphan,Petition to Classify Orphan as an Immediate Relative,National Benefits Center,"850 NW Chipman Rd #5000, Lee's Summit, MO 64063",64063,3,5,MO,5,"Cleaver, Emanuel",D
I-600A,U.S. citizen who plans to adopt a foreign-born child,Application for Advance Processing of an Orphan Petition,National Benefits Center,"850 NW Chipman Rd #5000, Lee's Summit, MO 64063",64063,3,5,MO,5,"Cleaver, Emanuel",D
I-601,Waiver of Grounds of Inadmissibility,Application for Waiver of Grounds of Inadmissibility,Nebraska,"850 S St, Lincoln, NE 68508",68508,11,14.5,NE,1,"Fortenberry, Jeff",R
I-601A,Provisional Waiver of Unlawful Presence,Application for Provisional Unlawful Presence Waiver,Nebraska,"850 S St, Lincoln, NE 68508",68508,6.5,8.5,NE,1,"Fortenberry, Jeff",R
I-612,Application for a waiver of the 2-year foreign residence requirement based on exceptional hardship or persecution,"Application for Waiver of the Foreign Residence Requirement (under Section 212(e) of the Immigration and Nationality Act, as Amended)",California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,14.5,18.5,CA,48,"Rouda, Harley",D
I-130,Permanent resident filing for an unmarried son or daughter over 21,Petition for Alien Relative,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,71,92,VT,At-Large,"Welch, Peter",D
I-730,Petition for accompanying family members of a refugee or an asylee,Refugee/Asylee Relative Petition,Nebraska,"850 S St, Lincoln, NE 68508",68508,8.5,11,NE,1,"Fortenberry, Jeff",R
I-730,Petition for accompanying family members of a refugee or an asylee,Refugee/Asylee Relative Petition,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,8,10.5,TX,30,"Johnson, Eddie Bernice",D
I-751,,Petition to Remove Conditions on Residence,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,15,19.5,CA,48,"Rouda, Harley",D
I-751,,Petition to Remove Conditions on Residence,Nebraska,"850 S St, Lincoln, NE 68508",68508,16,23.5,NE,1,"Fortenberry, Jeff",R
I-751,,Petition to Remove Conditions on Residence,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,15.5,19.5,TX,30,"Johnson, Eddie Bernice",D
I-130,U.S. citizen filing for a married son or daughter over 21,Petition for Alien Relative,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,75,97.5,VT,At-Large,"Welch, Peter",D
I-751,,Petition to Remove Conditions on Residence,All Field Offices,All Field Offices,,23,45,,,,
I-765,Based on a pending I-485 adjustment application [(c)(9)],Application for Employment Authorization,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,3,5,CA,48,"Rouda, Harley",D
I-765,Haiti extension,Application for Employment Authorization,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,16,21,CA,48,"Rouda, Harley",D
I-765,All other applications for employment authorization,Application for Employment Authorization,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,2,5,CA,48,"Rouda, Harley",D
I-765,Based on a pending I-485 adjustment application [(c)(9)],Application for Employment Authorization,National Benefits Center,"850 NW Chipman Rd #5000, Lee's Summit, MO 64063",64063,4,6,MO,5,"Cleaver, Emanuel",D
I-765,All other applications for employment authorization,Application for Employment Authorization,National Benefits Center,"850 NW Chipman Rd #5000, Lee's Summit, MO 64063",64063,6.5,8.5,MO,5,"Cleaver, Emanuel",D
I-765,Based on an approved asylum application [(a)(5)],Application for Employment Authorization,Nebraska,"850 S St, Lincoln, NE 68508",68508,3,5,NE,1,"Fortenberry, Jeff",R
I-765,Based on a pending asylum application [(c)(8)],Application for Employment Authorization,Nebraska,"850 S St, Lincoln, NE 68508",68508,0.75,3,NE,1,"Fortenberry, Jeff",R
I-765,Based on a pending I-485 adjustment application [(c)(9)],Application for Employment Authorization,Nebraska,"850 S St, Lincoln, NE 68508",68508,3,5,NE,1,"Fortenberry, Jeff",R
I-765,All other applications for employment authorization,Application for Employment Authorization,Nebraska,"850 S St, Lincoln, NE 68508",68508,3,5,NE,1,"Fortenberry, Jeff",R
I-765,Based on a request by a qualified F-1 academic student [(c)(3)],Application for Employment Authorization,Potomac,"2200 Crystal Dr, Arlington, VA 22202",22202,3.5,5.5,VA,8,"Beyer, Don",D
I-765,Based on a pending asylum application [(c)(8)],Application for Employment Authorization,Potomac,"2200 Crystal Dr, Arlington, VA 22202",22202,3.5,5.5,VA,8,"Beyer, Don",D
I-765,All other applications for employment authorization,Application for Employment Authorization,Potomac,"2200 Crystal Dr, Arlington, VA 22202",22202,3.5,5.5,VA,8,"Beyer, Don",D
I-765,Based on a pending asylum application [(c)(8)],Application for Employment Authorization,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,1,3,TX,30,"Johnson, Eddie Bernice",D
I-765,Based on a pending I-485 adjustment application [(c)(9)],Application for Employment Authorization,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,1,5,TX,30,"Johnson, Eddie Bernice",D
I-765,All other applications for employment authorization,Application for Employment Authorization,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,1,5,TX,30,"Johnson, Eddie Bernice",D
I-131,All other applicants for advance parole,Application for Travel Document,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,3,5,VT,At-Large,"Welch, Peter",D
I-360,All other special immigrants,"Petition for Amerasian, Widow(er), or Special Immigrant",Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,9,12,VT,At-Large,"Welch, Peter",D
I-360,Violence Against Women Act (VAWA),"Petition for Amerasian, Widow(er), or Special Immigrant",Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,16,21,VT,At-Large,"Welch, Peter",D
I-485,,Application to Register Permanent Residence or Adjust Status,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,11.5,15,VT,At-Large,"Welch, Peter",D
I-539,Change status to the F or M academic or vocational student categories,Application to Extend/Change Nonimmigrant Status,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,12,15.5,VT,At-Large,"Welch, Peter",D
I-817,,Application for Family Unity Benefits,National Benefits Center,"850 NW Chipman Rd #5000, Lee's Summit, MO 64063",64063,13,23.5,MO,5,"Cleaver, Emanuel",D
I-817,,Application for Family Unity Benefits,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,13,23.5,TX,30,"Johnson, Eddie Bernice",D
I-821,Haiti initial or late filing,Application for Temporary Protected Status,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,16,21,CA,48,"Rouda, Harley",D
I-821,Haiti extension,Application for Temporary Protected Status,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,16,21,CA,48,"Rouda, Harley",D
I-821,El Salvador extension,Application for Temporary Protected Status,Nebraska,"850 S St, Lincoln, NE 68508",68508,4,6,NE,1,"Fortenberry, Jeff",R
I-821,El Salvador initial or late filing,Application for Temporary Protected Status,Nebraska,"850 S St, Lincoln, NE 68508",68508,4,6,NE,1,"Fortenberry, Jeff",R
I-821,Honduras and Nicaragua extension,Application for Temporary Protected Status,Nebraska,"850 S St, Lincoln, NE 68508",68508,4,6,NE,1,"Fortenberry, Jeff",R
I-821,Honduras and Nicaragua initial or late filing,Application for Temporary Protected Status,Nebraska,"850 S St, Lincoln, NE 68508",68508,4,6,NE,1,"Fortenberry, Jeff",R
I-539,Change of status to H or L dependents,,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,12,15.5,VT,At-Large,"Welch, Peter",D
I-539,Change Status to the J exchange visitor category,,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,12,15.5,VT,At-Large,"Welch, Peter",D
I-539,All other change-of-status applications,,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,12,15.5,VT,At-Large,"Welch, Peter",D
I-539,Extension of stay for F or M academic or vocational students,,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,12,15.5,VT,At-Large,"Welch, Peter",D
I-821D,Request for Deferred Action ,Consideration of Deferred Action for Childhood Arrivals ,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,14,18.5,CA,48,"Rouda, Harley",D
I-821D,Renewal,Consideration of Deferred Action for Childhood Arrivals ,Nebraska,"850 S St, Lincoln, NE 68508",68508,5,7,NE,1,"Fortenberry, Jeff",R
I-821D,Request for Deferred Action ,Consideration of Deferred Action for Childhood Arrivals ,Nebraska,"850 S St, Lincoln, NE 68508",68508,5,8,NE,1,"Fortenberry, Jeff",R
I-612,Application for a waiver of the 2-year foreign residence requirement based on exceptional hardship or persecution,"Application for Waiver of the Foreign Residence Requirement (under Section 212(e) of the Immigration and Nationality Act, as Amended)",Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,0.5,6,VT,At-Large,"Welch, Peter",D
I-751,,Petition to Remove Conditions on Residence,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,15.5,19.5,VT,At-Large,"Welch, Peter",D
I-824,,Application for Action on an Approved Application or Petition,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,3.5,10.5,CA,48,"Rouda, Harley",D
I-824,,Application for Action on an Approved Application or Petition,National Benefits Center,"850 NW Chipman Rd #5000, Lee's Summit, MO 64063",64063,3.5,10.5,MO,5,"Cleaver, Emanuel",D
I-824,,Application for Action on an Approved Application or Petition,Nebraska,"850 S St, Lincoln, NE 68508",68508,3.5,10.5,NE,1,"Fortenberry, Jeff",R
I-824,,Application for Action on an Approved Application or Petition,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,3.5,10.5,TX,30,"Johnson, Eddie Bernice",D
I-765,"Based on an approved, concurrently filed, I-821D [(c)(33)]",Application for Employment Authorization,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,6.5,8.5,VT,At-Large,"Welch, Peter",D
I-829,Removal of lawful permanent resident conditions (immigrant investors) ,Petition by Entrepreneur to Remove Conditions on Permanent Resident Status,"131 M Street NE 3rd Floor, Mailstop 2235 Washington, DC 20529","131 M Street NE 3rd Floor, Mailstop 2235 Washington, DC 20529",20529,28,36,,,,
I-765,Based on a pending I-485 adjustment application [(c)(9)],Application for Employment Authorization,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,2.5,5,VT,At-Large,"Welch, Peter",D
I-918,"Provide temporary immigration benefits to an alien who is a victim of qualifying criminal activity, and their qualifying family (Time from Initial Filing to Waiting List Determination)",Petition for U Nonimmigrant Status,Nebraska,"850 S St, Lincoln, NE 68508",68508,50.5,51,NE,1,"Fortenberry, Jeff",R
I-765,"Based on TPS for El Salvador [(c)(19), (a)(12)]",Application for Employment Authorization,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,6.5,8.5,VT,At-Large,"Welch, Peter",D
I-924,I924 - Application for Regional Center Under the Immigrant Investor Pilot Program,Application For Regional Center Designation Under the Immigrant Investor Program,"131 M Street NE 3rd Floor, Mailstop 2235 Washington, DC 20529","131 M Street NE 3rd Floor, Mailstop 2235 Washington, DC 20529",20529,18.5,24,,,,
I-765,All other applications for employment authorization,Application for Employment Authorization,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,3.5,5.5,VT,At-Large,"Welch, Peter",D
N-400,,Application for Naturalization,Agana GU,"770 East Sunset Boulevard, Suite 185 Barrigada GU 96913, E Sunset Blvd, Tamuning, Guam",96913,10,19.5,,,,
N-400,,Application for Naturalization,Albany NY,"1086 Troy Schenectady Rd, Latham, NY 12110",12110,10,19.5,NY,20,"Tonko, Paul",D
N-400,,Application for Naturalization,Albuquerque NM,"1551 Mercantile Ave NE suite b, Albuquerque, NM 87107",87107,5.5,16,,,,
N-400,,Application for Naturalization,Anchorage AK,"3708, 620 E 10th Ave Suite 102, Anchorage, AK 99501",99501,10,19.5,,,,
N-400,,Application for Naturalization,Atlanta GA,"2150 Parklake Dr NE, Atlanta, GA 30345",30345,14.5,29,,,,
N-400,,Application for Naturalization,Baltimore MD,"3701 Koppers St, Baltimore, MD 21227",21227,12.5,20,,,,
N-400,,Application for Naturalization,Boise ID,"1185 S Vinnell Way, Boise, ID 83709",83709,10,19.5,,,,
I-765V,"Abused spouse of an A, E-3, G, or H nonimmigrant",Application for Employment Authorization for Abused Nonimmigrant Spouse ,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,3,5,VT,At-Large,"Welch, Peter",D
N-400,,Application for Naturalization,Brooklyn NY,"1260-1278 60th St, Brooklyn, NY 11219",11219,15,19,,,,
N-400,,Application for Naturalization,Buffalo NY,"306 Delaware Ave, Buffalo, NY 14202",14202,6.5,14,,,,
N-400,,Application for Naturalization,Charleston SC,"1 Poston Rd Suite 130, Charleston, SC 29407",29407,4,13.5,,,,
I-821,El Salvador extension,Application for Temporary Protected Status,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,9,11.5,VT,At-Large,"Welch, Peter",D
N-400,,Application for Naturalization,Charlotte NC,"6130 Tyvola Centre Dr, Charlotte, NC 28217",28217,9.5,13,,,,
N-400,,Application for Naturalization,Chicago IL,"101 W Congress Pkwy, Chicago, IL 60605",60605,9,18.5,,,,
I-821,El Salvador initial or late filing,Application for Temporary Protected Status,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,9,11.5,VT,At-Large,"Welch, Peter",D
N-400,,Application for Naturalization,Cincinnati OH,"5298, 550 Main St Room 4001, Cincinnati, OH 45202",45202,4.5,11,,,,
N-400,,Application for Naturalization,Cleveland OH,"1240 E 9th St #519, Cleveland, OH 44199",44199,3.5,12,,,,
N-400,,Application for Naturalization,Columbus OH,"395 E Broad St #100, Columbus, OH 43215",43215,5,13.5,,,,
N-400,,Application for Naturalization,Dallas TX,"6500 Campus Cir Dr E, Irving, TX 75063",75063,16,20.5,,,,
N-400,,Application for Naturalization,Denver CO,"12484 E Weaver Pl, Centennial, CO 80111",80111,11.5,17.5,,,,
N-400,,Application for Naturalization,Des Moines IA,"210 Walnut St, Des Moines, IA 50309",50309,12,17,,,,
N-400,,Application for Naturalization,Detroit MI,"11411 E Jefferson Ave, Detroit, MI 48214",48214,12,17,,,,
N-400,,Application for Naturalization,El Paso TX,"1545 Hawkins Blvd #167, El Paso, TX 79925",79925,12,17,,,,
N-400,,Application for Naturalization,Fort Myers FL,"4220 Executive Cir Ste 1, Fort Myers, FL 33916",33916,12,17,,,,
N-400,,Application for Naturalization,Fort Smith AR,"4624 Kelley Hwy, Fort Smith, AR 72904",72904,10,19.5,,,,
N-400,,Application for Naturalization,Fresno CA,"744 P St #120, Fresno, CA 93721",93721,6.5,11.5,,,,
N-400,,Application for Naturalization,Greer SC,"501 Pennsylvania Ave, Greer, SC 29650",29650,10,19.5,,,,
N-400,,Application for Naturalization,Harlingen TX,"1717 Zoy St, Harlingen, TX 78552",78552,14,21,,,,
I-821,Honduras and Nicaragua extension,Application for Temporary Protected Status,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,9,11.5,VT,At-Large,"Welch, Peter",D
